TeslaModel,HomeChargerAvailable,Segment,ChargingFrequency,LocationPreference,PriceSensitivity,SpeedPreference,ChosenStationPrice,ChosenStationSpeed,ChosenStationLocation,ConjointPrice,ConjointSpeed,ConjointPerks,PlanType,UsageLimit,AdSpend,StationUsage,Revenue,CampaignType,FirstTimeUser,DiscountApplied,UserLocation
Model 3,No,Urban Commuter,6,Supercharger - Highway,Medium,Fast,0.46,Fast,Urban,0.25,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,2616.67,24,110.4,Loyalty Program,No,No,Urban
Model Y,Yes,Urban Commuter,1,Home,High,Moderate,0.27,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,4803.11,19,51.3,Loyalty Program,No,No,Suburban
Model X,Yes,Urban Commuter,1,Home,Medium,Moderate,0.34,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,3950.17,23,78.2,None,Yes,Yes,Urban
Model 3,Yes,Urban Commuter,3,Destination Charger,Low,Moderate,0.42,Fast,Highway,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4863.01,15,63,Loyalty Program,No,No,Suburban
Model S,Yes,Long-Distance Traveler,2,Supercharger - Highway,Medium,Moderate,0.32,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,3858.14,11,35.2,Discount,No,No,Highway Region
Model S,No,Urban Commuter,2,Supercharger - Urban,High,Fast,0.46,Fast,Highway,0.45,Fast,None,Unlimited Fast-Charging,Unlimited,1290.2,20,92,Loyalty Program,No,No,Urban
Model S,Yes,Urban Commuter,1,Destination Charger,High,Fast,0.43,Fast,Highway,0.45,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,790.41,16,68.8,Referral,Yes,No,Rural
Model Y,Yes,Urban Commuter,1,Supercharger - Highway,Low,Moderate,0.45,Fast,Highway,0.25,Fast,None,Pay-Per-Use,Unlimited,3099.48,18,81,Discount,No,No,Rural
Model X,Yes,Long-Distance Traveler,3,Supercharger - Highway,Medium,Moderate,0.28,Fast,Urban,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,2110.16,15,42,Referral,No,No,Suburban
Model X,No,Long-Distance Traveler,1,Supercharger - Urban,Medium,Fast,0.29,Fast,Urban,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1739.56,19,55.1,None,No,No,Urban
Model S,Yes,Urban Commuter,3,Destination Charger,Medium,Fast,0.32,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,4132.45,25,80,Discount,No,No,Rural
Model Y,Yes,Long-Distance Traveler,3,Supercharger - Highway,Low,Fast,0.38,Fast,Urban,0.45,Fast,None,Monthly Subscription,Unlimited,2151.47,17,64.6,Loyalty Program,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,3,Supercharger - Highway,Medium,Moderate,0.44,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,1926.5,28,123.2,Discount,Yes,Yes,Urban
Model 3,No,Long-Distance Traveler,1,Supercharger - Highway,High,Fast,0.46,Fast,Urban,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,4324.94,17,78.2,Discount,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,3,Supercharger - Urban,Medium,Moderate,0.43,Fast,Highway,0.35,Fast,None,Pay-Per-Use,50 kWh/month,4308.29,28,120.4,Discount,No,No,Rural
Model S,Yes,Long-Distance Traveler,2,Destination Charger,Low,Moderate,0.48,Fast,Highway,0.25,Fast,Lounge Access,Pay-Per-Use,Unlimited,2103.65,21,100.8,Referral,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Fast,0.43,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,4246.24,19,81.7,None,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Moderate,0.33,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4328.5,25,82.5,Discount,No,No,Rural
Model 3,Yes,Urban Commuter,1,Destination Charger,High,Fast,0.32,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,2407.69,17,54.4,Loyalty Program,No,No,Highway Region
Model 3,Yes,Urban Commuter,1,Home,Medium,Moderate,0.42,Fast,Highway,0.25,Fast,None,Pay-Per-Use,Unlimited,799.13,17,71.4,Discount,No,No,Urban
Model X,No,Long-Distance Traveler,2,Home,High,Fast,0.3,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,507.13,28,84,Discount,Yes,Yes,Highway Region
Model S,Yes,Urban Commuter,3,Destination Charger,High,Moderate,0.27,Fast,Urban,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2854.82,24,64.8,None,No,No,Highway Region
Model 3,Yes,Urban Commuter,3,Supercharger - Urban,Low,Moderate,0.38,Fast,Highway,0.35,Fast,App Navigation Integration,Monthly Subscription,Unlimited,2048.34,15,57,Loyalty Program,Yes,No,Suburban
Model 3,No,Long-Distance Traveler,1,Home,High,Fast,0.46,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,4987.09,13,59.8,Loyalty Program,No,No,Suburban
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,High,Fast,0.28,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,3975.85,15,42,Referral,No,No,Rural
Model Y,Yes,Long-Distance Traveler,1,Home,Low,Fast,0.45,Fast,Destination,0.45,Fast,None,Monthly Subscription,Unlimited,3925.74,17,76.5,Loyalty Program,No,No,Suburban
Model S,Yes,Long-Distance Traveler,3,Supercharger - Highway,High,Fast,0.45,Fast,Highway,0.25,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,4798.59,20,90,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,Low,Moderate,0.37,Fast,Destination,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,4494.76,28,103.6,Loyalty Program,No,No,Rural
Model 3,No,Urban Commuter,6,Home,Medium,Fast,0.26,Fast,Destination,0.25,Fast,Lounge Access,Monthly Subscription,Unlimited,1931.84,28,72.8,Discount,Yes,Yes,Rural
